"method","mstop","theta_hat","direct","min_threshold_gap","max_contrast_spread","max_probability_error","backfit_iterations","backfit_converged","max_condition_number","error","replication","seed","sample_signature","fold_signature"
"pure",500,0.973351737823639,0.9188732037079,0.956250816882566,2.80221208451075e-16,2.22044604925031e-16,0,1,NA,"",13,192013,14475517,13475704
"pure",1000,0.992255653253789,0.958466102500982,0.97306291837506,4.4411237750586e-16,2.22044604925031e-16,0,1,NA,"",13,192013,14475517,13475704
"pure",2000,1.01013012599202,0.988278754421177,0.988199006562338,6.14389577156996e-16,2.22044604925031e-16,0,1,NA,"",13,192013,14475517,13475704
"pure",5000,1.03312801706538,1.02053954228302,1.00837194441135,6.50315138950655e-16,2.22044604925031e-16,0,1,NA,"",13,192013,14475517,13475704
"pure",10000,1.04876055512894,1.0387198176599,1.02237368114022,6.68231102092561e-16,2.22044604925031e-16,0,1,NA,"",13,192013,14475517,13475704
"pure",500,0.961300748025055,0.856454292279336,0.929889280369427,3.03149026538502e-16,2.22044604925031e-16,0,1,NA,"",14,192014,14386652,13640092
"pure",1000,0.984433841811846,0.908089048584811,0.953019880152985,4.50735108313541e-16,2.22044604925031e-16,0,1,NA,"",14,192014,14386652,13640092
"pure",2000,1.00266461783763,0.943485043644652,0.971484983290592,6.33744897131014e-16,2.22044604925031e-16,0,1,NA,"",14,192014,14386652,13640092
"pure",5000,1.02649241666466,0.982443729639891,0.996534950626968,5.96788247298013e-16,2.22044604925031e-16,0,1,NA,"",14,192014,14386652,13640092
"pure",10000,1.04246810127899,1.00836671763493,1.01347692898015,6.84988514079731e-16,2.22044604925031e-16,0,1,NA,"",14,192014,14386652,13640092
"pure",500,0.948128483598106,0.845662145363708,0.943377572921563,3.01856564351959e-16,2.22044604925031e-16,0,1,NA,"",15,192015,14388656,13402019
"pure",1000,0.967033909045027,0.890187882242089,0.964680584527207,4.21358623729833e-16,2.22044604925031e-16,0,1,NA,"",15,192015,14388656,13402019
"pure",2000,0.986262265251403,0.932287264237787,0.98658162305903,4.91717598516688e-16,2.22044604925031e-16,0,1,NA,"",15,192015,14388656,13402019
"pure",5000,1.01178530637194,0.985080221052982,1.01319633193516,6.07383151131852e-16,2.22044604925031e-16,0,1,NA,"",15,192015,14388656,13402019
"pure",10000,1.02761239328229,1.0188284844706,1.02915530224589,6.02553125011367e-16,2.22044604925031e-16,0,1,NA,"",15,192015,14388656,13402019
"pure",500,1.01196827874486,0.908295789084222,0.969281796379545,2.91416443079912e-16,2.22044604925031e-16,0,1,NA,"",16,192016,14352682,13478033
"pure",1000,1.03154871322229,0.952273723129751,0.991615338312733,4.142665274663e-16,2.22044604925031e-16,0,1,NA,"",16,192016,14352682,13478033
"pure",2000,1.04957004183769,0.986350384434701,1.0116125520788,5.64193318054466e-16,2.22044604925031e-16,0,1,NA,"",16,192016,14352682,13478033
"pure",5000,1.07251367357014,1.02291431483966,1.0366243802912,6.06518620734331e-16,2.22044604925031e-16,0,1,NA,"",16,192016,14352682,13478033
