"theta","learner","rep","var_ratio","p_het","theta_hat","theta_bias"
1.5,"nnet_d0.01",58,0.893114155825752,0.0785151274329658,1.59586359356916,0.0958635935691625
1.5,"nnet_d0.01",59,0.891835459027412,0.0756240189131675,1.61244721717038,0.112447217170381
1.5,"nnet_d0.01",60,1.00099045836707,0.992958604329511,1.22382527889866,-0.276174721101338
1.5,"nnet_d0.01",61,0.842306935273158,0.00868786869150194,1.52879914653372,0.0287991465337176
1.5,"nnet_d0.01",62,0.988859476394618,0.859550800293957,1.30170157261198,-0.198298427388024
1.5,"nnet_d0.01",63,0.95632874558327,0.487903586583969,1.31009352006522,-0.18990647993478
1.5,"nnet_d0.01",64,0.834081911823662,0.00497614873570084,1.67545982653817,0.175459826538172
1.5,"nnet_d0.01",65,0.865432699503314,0.0258337825701807,1.25653687373222,-0.243463126267782
1.5,"nnet_d0.01",66,0.893883300510625,0.0824909162846059,1.6996594244472,0.199659424447204
1.5,"nnet_d0.01",67,0.981442061618508,0.768703738423596,1.60213938678652,0.102139386786516
1.5,"nnet_d0.01",68,0.800150941206579,0.000577006254370058,1.58049423932502,0.0804942393250225
1.5,"nnet_d0.01",69,1.02604220591748,0.701518437276457,2.0514390797994,0.551439079799399
1.5,"nnet_d0.01",70,1.08193814107084,0.235582940714336,1.4013515439749,-0.0986484560251031
1.5,"nnet_d0.01",71,0.803738761251431,0.000692318850548025,1.363447190544,-0.136552809456
1.5,"nnet_d0.01",72,0.870897685616617,0.0317739635641074,1.92798258875427,0.427982588754271
1.5,"nnet_d0.01",73,1.00702250164366,0.917213566193388,1.40087438311916,-0.099125616880843
1.5,"nnet_d0.01",74,0.862267010450249,0.0221082249649998,1.5155586819158,0.0155586819158029
1.5,"nnet_d0.01",75,1.04509006387971,0.504859320618853,1.85075105418174,0.350751054181739
1.5,"nnet_d0.01",76,1.00336106636421,0.963066556140983,1.57009380070011,0.0700938007001071
1.5,"nnet_d0.01",77,1.00431866747919,0.951696181686903,1.85256957030166,0.352569570301656
1.5,"nnet_d0.01",78,0.943559060015406,0.371842189117949,1.40571228070105,-0.0942877192989537
1.5,"nnet_d0.01",79,0.932818381088586,0.280596379370643,1.51301135057802,0.0130113505780203
1.5,"nnet_d0.01",80,0.839518657720028,0.00719531873898378,1.63728345082355,0.13728345082355
1.5,"nnet_d0.01",81,1.01812158586941,0.788339280586518,1.80843798238165,0.308437982381648
1.5,"nnet_d0.01",82,0.953408836057563,0.457904369898099,1.83676601912652,0.336766019126517
1.5,"nnet_d0.01",83,0.862597195464994,0.0222486546046495,1.7498595317663,0.249859531766303
1.5,"nnet_d0.01",84,0.968902783928095,0.626818806155488,1.70363823250994,0.203638232509942
1.5,"nnet_d0.01",85,0.859230829518732,0.0185937877099925,1.53021608671811,0.0302160867181056
1.5,"nnet_d0.01",86,0.82184105286553,0.00235320694077518,1.617543507826,0.117543507825995
1.5,"nnet_d0.01",87,0.942677119141503,0.364584223479189,1.54815319110348,0.0481531911034823
1.5,"nnet_d0.01",88,0.941734547315991,0.354345299024288,1.49090591711426,-0.00909408288574243
1.5,"nnet_d0.01",89,0.903561801367232,0.116197367694521,1.2896292534406,-0.210370746559396
1.5,"nnet_d0.01",90,0.976442774060606,0.711820366859929,1.63280889496111,0.132808894961108
1.5,"nnet_d0.01",91,0.912939879453589,0.157821571056168,2.0187428388839,0.518742838883897
1.5,"nnet_d0.01",92,0.836184280566055,0.00565607557345771,1.81011550007745,0.310115500077454
1.5,"nnet_d0.01",93,1.01864208772989,0.780123589975298,1.75191160798581,0.25191160798581
1.5,"nnet_d0.01",94,0.900299215554269,0.105097948956906,1.33052960220853,-0.169470397791467
1.5,"nnet_d0.01",95,0.891856604722449,0.0775086813735333,1.5497927140396,0.0497927140396015
1.5,"nnet_d0.01",96,0.998823064566146,0.981306884608067,1.61713553666571,0.117135536665708
1.5,"nnet_d0.01",97,0.945684560232703,0.389877536124144,1.4216224327165,-0.0783775672834972
1.5,"nnet_d0.01",98,1.0279429328947,0.677083563070546,1.65344374129359,0.153443741293595
1.5,"nnet_d0.01",99,0.869560774606239,0.0304144778472166,1.64780475357626,0.147804753576259
1.5,"nnet_d0.01",100,0.87162900697297,0.0326960875275534,1.6596791461597,0.159679146159701
1.5,"nnet_d0.1",1,0.904238394975642,0.121784661976893,1.71237548422582,0.212375484225822
1.5,"nnet_d0.1",2,1.00248864949128,0.972675509893257,1.60855703176379,0.108557031763793
1.5,"nnet_d0.1",3,1.07778616483176,0.25425393111313,1.40853064856225,-0.0914693514377507
