"estimator","truth","estimate","se","covered","bootstrap_success","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","bootstrap_reps","bootstrap_fit_timeout","replication"
"targeted_sudo",0.75,0.655721991403107,0.044431090578393,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"pit_intercept_tilt",0.75,0.66165594931062,0.0453382182938824,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"pit_affine_tilt",0.75,0.664043383737358,0.0464061851095584,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,15
"direct",0.75,0.631793588322388,0.0432486593592009,FALSE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"raw_label",0.75,0.129959819014423,0.00797711269370748,FALSE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"index_projection",0.75,0.632403606674012,0.0427550851163568,FALSE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"sudo",0.75,0.651827702861324,0.0439266503368152,FALSE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"scaled",0.75,0.669395063716986,0.0471438741560551,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"orthogonal",0.75,0.639385755404034,0.0652322707785795,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"targeted_projection",0.75,0.681911637090428,0.0503423461672752,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"targeted_sudo",0.75,0.677878658340223,0.0492986722513801,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"pit_intercept_tilt",0.75,0.681910142132352,0.0503519466625827,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"pit_affine_tilt",0.75,0.684598312962912,0.0517791715042683,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,16
"direct",0.75,0.767448654385792,0.0346011505942792,TRUE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"raw_label",0.75,0.15203024257864,0.00721476565504712,FALSE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"index_projection",0.75,0.765922741791419,0.0349434112357533,TRUE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"sudo",0.75,0.793808082708203,0.0375128156243781,TRUE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"scaled",0.75,0.823157058420316,0.0422501667599927,TRUE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"orthogonal",0.75,0.85390060907154,0.0458648232663491,FALSE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"targeted_projection",0.75,0.85696327660347,0.0458743255761938,FALSE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"targeted_sudo",0.75,0.844514620315935,0.0443043201672673,FALSE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"pit_intercept_tilt",0.75,0.857028224347931,0.0458727216843902,FALSE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"pit_affine_tilt",0.75,0.864908069484705,0.0479143058995703,FALSE,0.858585858585859,"randomized",TRUE,0.001,3000,80,5,5,99,600,17
"direct",0.75,0.662213709733036,0.0409065094932864,FALSE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"raw_label",0.75,0.131070509324263,0.00737145544499552,FALSE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"index_projection",0.75,0.664043325335079,0.0407404430927105,FALSE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"sudo",0.75,0.687018918680037,0.0405636489512603,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"scaled",0.75,0.70977786082909,0.0424374828606871,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"orthogonal",0.75,0.761606884958632,0.048436342823995,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"targeted_projection",0.75,0.731643414191948,0.0483830129337748,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"targeted_sudo",0.75,0.72431873299848,0.0468837798048249,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"pit_intercept_tilt",0.75,0.731639216335165,0.0483828806516508,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"pit_affine_tilt",0.75,0.733792231576368,0.0494183537836754,TRUE,0.838383838383838,"randomized",TRUE,0.001,3000,80,5,5,99,600,18
"direct",0.75,0.722053059900092,0.044237805870383,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"raw_label",0.75,0.144975664648495,0.0080413224899229,FALSE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"index_projection",0.75,0.724712251874377,0.0443822167383327,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"sudo",0.75,0.750066662528812,0.0464146017156856,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"scaled",0.75,0.774880821565517,0.0499469378988635,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"orthogonal",0.75,0.808543768506042,0.0557494686627155,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"targeted_projection",0.75,0.794427410026858,0.0519357469171162,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"targeted_sudo",0.75,0.787250754700204,0.0505673067712908,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"pit_intercept_tilt",0.75,0.794427847284542,0.0519356322755799,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"pit_affine_tilt",0.75,0.798314309285153,0.0537136975993331,TRUE,0.888888888888889,"randomized",TRUE,0.001,3000,80,5,5,99,600,19
"direct",0.75,0.711519724609137,0.0420531860500399,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,20
"raw_label",0.75,0.145274910073055,0.00759386657335357,FALSE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,20
"index_projection",0.75,0.710295306001347,0.0419023301847834,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,20
"sudo",0.75,0.738268547238815,0.0418285969424507,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,20
"scaled",0.75,0.766196061263485,0.044250878379379,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,20
"orthogonal",0.75,0.781839938719096,0.0508133972148818,TRUE,1,"randomized",TRUE,0.001,3000,80,5,5,99,600,20
