"seed","selection","truth","direct","raw_label","index_projection","sudo","scaled","orthogonal","targeted_projection","targeted_sudo","correction","kappa","clipping_rate","max_inverse_information","direct_contrast_spread","target_failure","index_rmse","index_correlation","oracle_sudo","oracle_orthogonal","sample_signature","fold_signature","error","cell","primary","clip","cell_n","cell_p","outer_folds","inner_folds","replication"
1613080,"min",0.75,0.659867864943234,0.134766619173782,0.653525158325531,0.675497005030986,0.69591673479147,0.712086735117148,0.724345724378044,0.715752377949706,0.0219718467054547,0.481693097139035,0,213.535541703484,8.21565038222616e-15,0,0.35684365291432,0.982788780022167,0.751052980638953,0.742672273318984,2217896,13446582,NA,"randomized",TRUE,0.001,3000,80,5,5,80
1613080,"one_se",0.75,0.597318076255846,0.134766619173782,0.593290380049801,0.635648487428171,0.670898000446405,0.703572370094903,0.716818833458119,0.699323305877528,0.0423581073783705,0.454201698726174,0,81.3514704296153,3.10862446895044e-15,0,0.487484284044349,0.985798227348492,0.751052980638953,0.742672273318984,2217896,13446582,NA,"randomized",TRUE,0.001,3000,80,5,5,80
1613081,"min",0.75,0.721384136366386,0.14609988766481,0.719751751854159,0.74503222462939,0.769586209415716,0.792623831428935,0.792959399377111,0.783405599731373,0.0252804727752316,0.492710987292194,0.000666666666666653,1001.001001001,7.54951656745106e-15,0,0.367907351217065,0.979350908574052,0.780343878362278,0.803952278123109,2175495,13459970,NA,"randomized",TRUE,0.001,3000,80,5,5,81
1613081,"one_se",0.75,0.660491486390622,0.14609988766481,0.660742115580502,0.703350259810885,0.740812986759469,0.773929279978736,0.78241586595838,0.765607781395758,0.0426081442303833,0.46786960597507,0,432.700834827056,3.10862446895044e-15,0,0.48293300741275,0.977025151426684,0.780343878362278,0.803952278123109,2175495,13459970,NA,"randomized",TRUE,0.001,3000,80,5,5,81
1613082,"min",0.75,0.66164210081248,0.138195935600838,0.665671997103913,0.687586973755566,0.707506869363252,0.700933155729772,0.72949319158871,0.7163327985849,0.0219149766516534,0.47615528701032,0,321.674385493835,6.43929354282591e-15,0,0.333739982307259,0.98169785791013,0.738138805590293,0.686764204797569,2240536,13457214,NA,"randomized",TRUE,0.001,3000,80,5,5,82
1613082,"one_se",0.75,0.60429856960935,0.138195935600838,0.607643721553468,0.648763603442997,0.682913432613929,0.689075010612804,0.719174945321939,0.69753413635802,0.0411198818895284,0.453699485354753,0,108.618646047998,4.44089209850063e-15,0,0.431639985053603,0.985492016277809,0.738138805590293,0.686764204797569,2240536,13457214,NA,"randomized",TRUE,0.001,3000,80,5,5,82
1613083,"min",0.75,0.683011487808873,0.13929633846759,0.686442743150172,0.708613765374754,0.729815785373341,0.75789610498129,0.745511646844725,0.738541651840909,0.0221710222245817,0.488829441326607,0,166.699609284918,8.65973959207622e-15,0,0.369609077170361,0.984366776897072,0.763290691694734,0.784968363337031,2252155,13521101,NA,"randomized",TRUE,0.001,3000,80,5,5,83
1613083,"one_se",0.75,0.619546506901001,0.13929633846759,0.622186750820273,0.66427974132404,0.700103716404969,0.736410296255989,0.739973192764557,0.72384027076827,0.042092990503768,0.459771178357652,0,72.3799926612436,2.88657986402541e-15,0,0.517203704927548,0.983725284554308,0.763290691694734,0.784968363337031,2252155,13521101,NA,"randomized",TRUE,0.001,3000,80,5,5,83
1613084,"min",0.75,0.624206497948256,0.128270408676209,0.624556883283155,0.650591867121609,0.674486746443324,0.720372287884762,0.688099772104403,0.683150592823409,0.0260349838384536,0.478568892629718,0,332.133498460554,6.66133814775094e-15,0,0.374915490297003,0.980360978115961,0.734011613758213,0.775783010141242,2144968,13444979,NA,"randomized",TRUE,0.001,3000,80,5,5,84
1613084,"one_se",0.75,0.564707814600155,0.128270408676209,0.56351713145739,0.60870289863478,0.645908972275109,0.69098672077454,0.677848305965248,0.663945911168933,0.0451857671773901,0.451574734476952,0,86.7828649605009,3.77475828372553e-15,0,0.496742088525575,0.984665100051437,0.734011613758213,0.775783010141242,2144968,13444979,NA,"randomized",TRUE,0.001,3000,80,5,5,84
1613085,"min",0.75,0.621351797095969,0.126209872174314,0.62088165585867,0.642621733210681,0.662824206575094,0.67582027427554,0.681965405109895,0.672880996512016,0.021740077352011,0.481670118276864,0,413.524684621205,7.32747196252603e-15,0,0.374837239732946,0.9773919941557,0.720009465765753,0.695492731631465,2198749,13431735,NA,"randomized",TRUE,0.001,3000,80,5,5,85
1613085,"one_se",0.75,0.560111356084785,0.126209872174314,0.559353742239428,0.599059989846561,0.631881417023348,0.654258319415263,0.674713013525973,0.65636859681597,0.039706247607133,0.452536597575634,0,170.78168872293,3.33066907387547e-15,0,0.488565434201551,0.981692287358147,0.720009465765753,0.695492731631465,2198749,13431735,NA,"randomized",TRUE,0.001,3000,80,5,5,85
1613086,"min",0.75,0.680330590634485,0.137942471052939,0.680668544458847,0.707158157519557,0.732718504154896,0.76837812784895,0.751403907688659,0.744448432205362,0.0264896130607103,0.491073322334938,0,860.888772926392,8.43769498715119e-15,0,0.28912170495017,0.984703339557147,0.756986672107887,0.809273033430829,2190192,13428865,NA,"randomized",TRUE,0.001,3000,80,5,5,86
1613086,"one_se",0.75,0.62136238666671,0.137942471052939,0.620975237137901,0.664636107917956,0.702467010850036,0.748236552051628,0.742272008751247,0.727290692369883,0.0436608707800554,0.464229715574915,0,284.638590010441,4.44089209850063e-15,0,0.384606395765273,0.990728281490552,0.756986672107887,0.809273033430829,2190192,13428865,NA,"randomized",TRUE,0.001,3000,80,5,5,86
