"arm","sudo","sudo_mi","T_U_plug","T_W_plug","T_U_os","T_W_os","PL_OS","B_total","B_X","B_D","B_D_first","B_X_first","direct_treat_err","mean_lambda","mean_nz","d_selected","min_p","min_q","oracle","n","p","seed"
"unpen",1.594759753359,1.61247269560177,1.69317965763312,1.69377398218227,1.54673400654806,1.53783734031464,1.5720231268539,0.0565356903864657,-0.0491678486197024,0.105703539006168,0.105074618918246,-0.0644412845379369,0.194250068273147,0.0327104616800272,25,1,0.245983645618298,0.0463734209329019,1.54906168577102,1000,500,1011035
"pen",1.35045733901047,1.33293947868572,1.20178170638377,1.20168878332267,1.4227025714078,1.44057664711453,1.45094837851635,-0.200934238962314,-0.0500369757065113,-0.150897263255802,-0.161298431563065,-0.0646117609653302,-0.298094938416131,0.0316390475841486,24.4,1,0.241493589280892,0.0991176634427226,1.40218174410439,1000,500,1011036
"unpen",1.50277323103369,1.48727581290201,1.56659527940357,1.56651474451474,1.43766571758061,1.44350070341333,1.44321389974624,-0.0469287933642793,-0.0807708204370384,0.0338420270727591,0.0355604586364867,-0.0943815160808419,0.0668702122466406,0.0311359632384806,24.6,1,0.211025380375365,0.0853838329695478,1.40218174410439,1000,500,1011036
"pen",1.44981351977916,1.45615676056299,1.29052725635078,1.29016868005147,1.57206396893709,1.5867381354714,1.63320422220591,-0.155156633312915,-0.0491799578358188,-0.105976675477096,-0.112145770792398,-0.0616112548088849,-0.209650793921561,0.032936285949563,19.6,1,0.187652825808329,0.0612181734727941,1.60149031242252,1000,500,1011037
"unpen",1.62594355176738,1.64738567599649,1.70066562476067,1.70014040662628,1.60874154607495,1.61028997441121,1.65147459951298,0.0236085207037086,-0.0798024761778192,0.103410996881528,0.107048549909,-0.0911236318875071,0.200587419574192,0.0345136389208957,16.4,1,0.186063910705763,0.0584606720892991,1.60149031242252,1000,500,1011037
"pen",1.47712180486146,1.46373381490739,1.33384438342395,1.33359774113888,1.53381101236357,1.53174248983991,1.5769471466406,-0.141623637171994,-0.0594742136352515,-0.0821494235367422,-0.0881673493205889,-0.0707628219829154,-0.166176397506153,0.0332813312900846,25.6,1,0.197384610044241,0.0536341133358191,1.62592744188929,1000,500,1011038
"unpen",1.65140900305686,1.65379431015916,1.74794695410728,1.74762893669856,1.57187008094747,1.55455911890085,1.58896471952061,0.0333730504400241,-0.0915881841098704,0.124961234549894,0.130576220048979,-0.103526245875199,0.247754413662347,0.0356829524219847,18,1,0.218203131960015,0.0711814819687761,1.62592744188929,1000,500,1011038
"pen",1.47469983979211,1.49696832041805,1.36793453889009,1.36773372628734,1.63788346447565,1.64465297172043,1.65676152684374,-0.116617101976707,-0.0475256177015484,-0.0690914842751582,-0.0717478219315575,-0.0636246963723955,-0.132405599903874,0.0315720566407209,22.8,1,0.231333222359066,0.0713576735264842,1.51374651054515,1000,500,1011039
"unpen",1.66929028310097,1.70260718689169,1.79825759003078,1.79804116320259,1.67715448403087,1.6675604142206,1.66004429682142,0.0691699251406363,-0.0873791043872313,0.156549029527868,0.160745542403747,-0.104290800576795,0.297851602963316,0.0388800446277285,16,1,0.209608759373535,0.0676644555766559,1.51374651054515,1000,500,1011039
"pen",1.59015428947654,1.60061287935113,1.45032375964628,1.4495019945174,1.72653871260786,1.74971315439544,1.81141440806542,-0.0712346560429971,-0.045002254927054,-0.0262324011159431,-0.0269451292419566,-0.0576020070371474,-0.0500325080482259,0.0313241541855212,23.2,1,0.228651056404199,0.0660177313484241,1.76124632039628,1000,500,1011040
"unpen",1.78848483926567,1.81214885520586,1.87269065615693,1.87179209372465,1.75415045098453,1.77435721323848,1.81529633445441,0.123599901490271,-0.0762641053180834,0.199864006808355,0.200721177021465,-0.0877396639449186,0.372375197540951,0.0334420083122823,19.6,1,0.233589681228993,0.0611760228485987,1.76124632039628,1000,500,1011040
"pen",1.37296028202118,1.36012657206964,1.19077519212585,1.19072247312417,1.51428827955047,1.5071088141505,1.52743639328204,-0.205328560026934,-0.0497099177766039,-0.15561864225033,-0.166461781203843,-0.0640713850867772,-0.309360767747726,0.0355541974590304,14.4,1,0.194341263244712,0.0776036205115713,1.45336526916358,1000,500,1011041
"unpen",1.54601159720794,1.55108162255229,1.61877689721484,1.61840516963947,1.54967964207947,1.52906175626661,1.53443746446333,-0.0241640742752222,-0.0846556952749567,0.0604916209997345,0.0631220637894823,-0.098309024641192,0.118427094110123,0.0370965999377665,12.2,1,0.224271377258326,0.0812925690217272,1.45336526916358,1000,500,1011041
